rank,From,benefit_eth,points_rounded,points
1,0x40e5d927fb0f16b51f023f6cd58b23899ac0cb3c,0.855,8550,8551.213945
2,0x805ffa8f7588f29c1b946964e29008f06c136d80,0.318,5230,5248.428765
3,0x9adc512316db07bb4c1dcecaea031bcff56d011d,0.318,5230,5248.428765
4,0xf34ca4d208ddcbce51ed5664fa63654316c5f5a5,0.312,5195,5191.741991
5,0xf03311f17abbbf7fff5d7bb7f3d6a8b6de358f99,0.294,5020,5016.901162
6,0x5ee105ff2f8981a1af3cf4b26880c7afa0bb08dc,0.288,4960,4956.951298
7,0xd5b40980a4cecbc11ca81355b4bd28322fafb6a5,0.231,4340,4339.768167
8,0xea492dcdf98161a37a3bdd83c1067c01ebad4ad8,0.216,4160,4160.918786
9,0x3668c873d6060e0fb70cf60868ee8c66e1034014,0.195,3900,3896.883778
10,0xba7ded50618905ea98753fd4c79593155c741c95,0.192,3860,3857.760367
11,0x3183d0d7d0e98ee7ff1558abe7a669a779318d7e,0.174,3615,3614.974939
12,0x6e505ac1668d56c3e64cfda51c5dbf1aff2e5ac0,0.165,3490,3488.061428
13,0x85272f70592594b47a05ba52e3f7dec91bda5abd,0.165,3490,3488.061428
14,0xe3f37ae1bb48895f03257af5261867bf9c4111da,0.159,3400,3401.252209
15,0xd48ca943f875f131f61f7c7f578a663ab2e3665f,0.153,3315,3312.595484
16,0x28455b319d4162b1dfe62bca560d9568dd8cd686,0.138,3085,3082.33022
17,0xa05e2b601fd140a3ad649f75ccfdbd205db1e197,0.132,2990,2986.538076
18,0x4f4feb20bd164f74c9a4477dd44da5bb7810d35b,0.129,2940,2937.803132
19,0x5366961df7505153bf89a1eed39e66262223c56c,0.12,2790,2788.081205
20,0x4c04a6ae0ab5420c65729d9a7e69d97d000ec670,0.117,2740,2736.953761
21,0xdc91d4edbd52adc24b94b29ef9ae0d3c8a6edeb7,0.117,2740,2736.953761
22,0x82ec19ca8b0dab84f9c49b960e43607914f1d378,0.114,2685,2685.191031
23,0xaba0dc18ceeeca0860bf47b2d00a84bba52084e1,0.114,2685,2685.191031
24,0xfe7778b64bc969e6e7010cd8b05eccc3e6ec364d,0.114,2685,2685.191031
25,0x84fa191825c5ca1109d4fe41c9a4b118adaf343e,0.111,2635,2632.777029
26,0x62c4db89876778db9372ce412f0d5688af144348,0.108,2580,2579.695158
27,0xcbfdcffc8e2bb8e3d41b7a88ae3958ccd106ae80,0.102,2475,2471.458171
28,0x0cfe2aca5475b3aef716357b5f21e3b3fbbde6d1,0.096,2360,2360.333815
29,0xabf26352aadaaa1cabffb3a55e378bac6bf15791,0.096,2360,2360.333815
30,0x51a10f79a52a2d0584fb38565dedd53d7a30f203,0.093,2305,2303.639916
31,0xaa470ef9af5317c7a6e9ef6a151fea816bd89fc4,0.093,2305,2303.639916
32,0xf987dc02f086c5a9762b80f673e8ecd7666f8578,0.093,2305,2303.639916
33,0x0e1cfacbf10af9c3a8156d22e68fdf1daebaa6ab,0.09,2250,2246.163809
34,0x76562b65fe0c432b0330253469d6b39bb89b79f3,0.081,2070,2068.818656
35,0xb204af326eec1f3786ed322f1d1aba46dd292417,0.081,2070,2068.818656
36,0xb5acba2dec844d2c328b6e9e05d8ea354b52ac2a,0.081,2070,2068.818656
37,0xbafd56d22ae053d9420b786c82144a926d5575fc,0.081,2070,2068.818656
38,0x000a15407c73ab69dac1bb68ce0ce8f6622f131f,0.078,2010,2007.985259
39,0x72f73e6d493ab0e830589373c8963050990dd94d,0.078,2010,2007.985259
40,0x0d66e374e221c63c7d07229333e4f796f56dede4,0.075,1950,1946.250346
41,0x3e11266d586ebcce97aa9c4b7b540429780cff9c,0.075,1950,1946.250346
42,0x5964fc9d14a028e3e7679700636bf7e82d5dff05,0.075,1950,1946.250346
43,0xbc837d348697c6fe4ab7654d9cb9e22ea6e0d2e9,0.075,1950,1946.250346
44,0x08dbceee0a05c79e9cd93d456a94e982aa16fb93,0.072,1885,1883.586796
45,0x383d4b3b463c090d8c12c97798ca54c0dac59170,0.072,1885,1883.586796
46,0x5a8231b79eef67a08dc31b3e42d4c71b40541d17,0.072,1885,1883.586796
47,0x9c29adae0bf1295409e5aa40fe8bd88f00f46c96,0.072,1885,1883.586796
48,0x302ab6313833630558e66b4a49208d1a74b66abd,0.069,1820,1819.966244
49,0x8b77eddca6a168d90f456be6b8e00877d4fd6048,0.069,1820,1819.966244
50,0xfd4bcde3183a6e84de83605f7323d35a05f15d04,0.069,1820,1819.966244
51,0x0e701c8fc08cce879b620f08d8f7c5cf8ab2d34b,0.066,1755,1755.359005
52,0x1a5f1e992b553d3a3cb869b7e7b517b3287909ed,0.066,1755,1755.359005
